dataset_tiktok-hashtag-scraper_2024-06-27_03-25-54-170
authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7324529008770318342~c5_720x720.jpeg?lk3s=a5d48078&nonce=43489&refresh_token=149eae8b75d84758806ac3c90f23d04f&x-expires=1719630000&x-signature=2ChQWUAb9cXWyCKVbFvI75Tlfpw%3D&shp=a5d48078&shcp=b59d6b55,butchmolly,Homelessness care packages en route! @enchroma #Venmo: mollybethh_lit #viral #actsofkindness #fyp #lgbtq #pandemic #covid #homeless #community #nyc,4500000,12300,20200000,8829,57,original sound,Mx.MDMA,TRUE,2020-05-28T23:06:15.000Z,https://www.tiktok.com/@butchmolly/video/6832035283672911109
https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9fd628639725d8d48a50248a591b9f1d~c5_720x720.jpeg?lk3s=a5d48078&nonce=26341&refresh_token=6c58cd38dcef4305909227a7a52c779c&x-expires=1719630000&x-signature=R9w81UlP%2FEzb%2F3WfY%2FtmwuopU4k%3D&shp=a5d48078&shcp=b59d6b55,kaylisand,will u be proud to tell ur kids about ur actions in 2020? ib: @dsullivan1285 #2020 #justice #pandemic #pov,4300000,240100,16100000,44000,54,original sound,kayli sandoval,TRUE,2020-06-03T03:38:18.000Z,https://www.tiktok.com/@kaylisand/video/6833960818413931782
https://p16-sign-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/eb2e7de4bc6aed878e3468b2e8a810db.jpeg?lk3s=a5d48078&nonce=6767&refresh_token=a4767e4a5693dea8265c775f8ecd9f6b&x-expires=1719630000&x-signature=WaLe7DErHuO1heoK5gLqbHz4aTI%3D&shp=a5d48078&shcp=b59d6b55,shinjithecorgi,🐶 Dog life in a pandemic  #corgipuppylife #pandemic #dogsoftiktok #fyp #quarantinepet #corgi,3800000,257700,19200000,22000,59,original sound,mbruno69,TRUE,2021-04-04T11:10:10.000Z,https://www.tiktok.com/@shinjithecorgi/video/6947258237762768129
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7333549048613961734~c5_720x720.jpeg?lk3s=a5d48078&nonce=84299&refresh_token=c4adb31c3ee0e820a7503c92062772b5&x-expires=1719630000&x-signature=tYZe8BawCaQN97pS18n7i5tTCMo%3D&shp=a5d48078&shcp=b59d6b55,hamishlongnz,Cobid-19 vs Bearded man #covid19 #rona #corona #iso #facemask #beard #ginger #baldhead #pandemic #NZ #NewZealand #AllBlacks #Adidas,3600000,367400,69300000,24200,13,The Next Episode（Remix）,赵弘发,FALSE,2020-04-10T08:38:06.000Z,https://www.tiktok.com/@hamishlongnz/video/6813999468187225349
https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/6ac8fd756b75603e392c8795a18eb83a~c5_720x720.jpeg?lk3s=a5d48078&nonce=8073&refresh_token=2630a6b14799fbe9736d5883a928a237&x-expires=1719630000&x-signature=peC87pzUCc3uRD%2BOUZEnaQNEuCA%3D&shp=a5d48078&shcp=b59d6b55,isaiah..christopher,#covid #covid2020 #coronavirus #covid19 #covid2021 #covidー19 #covid_19 #getvaccinated #pandemic #coronavirüs #fyp #fypシ,3200000,53400,13200000,61000,33,Lights Are On,Tom Rosenthal,FALSE,2021-11-22T14:42:32.000Z,https://www.tiktok.com/@isaiah..christopher/video/7033404731275971845
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a4cb4e0910189e384af865d900088a39~c5_720x720.jpeg?lk3s=a5d48078&nonce=74358&refresh_token=67200a8e17acd2e4c30b3ef9ee2b6e2a&x-expires=1719630000&x-signature=p6mlZej4ely5n9%2F8tKQcqa3KM%2BM%3D&shp=a5d48078&shcp=b59d6b55,horror6sic6,#CapCut #covid19 #pandemic #theyeartheearthchanged #horrortok #horror6sic6 #fyp,3000000,185800,17400000,16400,60,13 Angels Standing Guard 'Round The Side Of Your Bed,Silver Mt. Zion,FALSE,2023-04-07T09:18:20.000Z,https://www.tiktok.com/@horror6sic6/video/7219234843895270662
https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/826c6fa4d4cefe58c8254db734774605~c5_720x720.jpeg?lk3s=a5d48078&nonce=74902&refresh_token=899624bf31dbf4367115eedbe4805d3f&x-expires=1719630000&x-signature=qyvwvVvYdrXKWXQZXStQh8a%2F9Co%3D&shp=a5d48078&shcp=b59d6b55,noxnatura_,Malaria: The Deadliest Disease in The World #edit #science #mosquito #virus #disease #biology #pandemic #noxnatura #phonk #music,2700000,59900,22900000,18400,28,son original - noxnatura,noxnatura,TRUE,2023-09-26T17:56:36.000Z,https://www.tiktok.com/@noxnatura_/video/7283194702868925728
https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/389f1ff4aeb6bbf06ca0c391c4d43260~c5_720x720.jpeg?lk3s=a5d48078&nonce=36020&refresh_token=b80386af7683478a3e324d4dc98cc180&x-expires=1719630000&x-signature=dxSB1ZBYc6rxfRzhQ1obq%2B9wb3M%3D&shp=a5d48078&shcp=b59d6b55,317ac,good dances while we were locked up 🏡 #fyp #foryourpage #foryoupageofficiall #4upage #4upageシ #ayeashton #pandemic #dubsmash #igdancer #viralvideo #mood #tiktok #2020 #jesus #2023,2000000,7098,10000000,4944,8,original sound,vizitlr,TRUE,2023-12-19T01:20:03.000Z,https://www.tiktok.com/@317ac/video/7314109348161064234
https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/5bc3a6378b9e4fb54070db0a8fad835d~c5_720x720.jpeg?lk3s=a5d48078&nonce=50820&refresh_token=cf7c1f1c27f83234a9e92b9b7640eda9&x-expires=1719630000&x-signature=OoCx%2FevQWOruukixKxpxdYa2v3c%3D&shp=a5d48078&shcp=b59d6b55,_sparkdala_,where has the time gone? #fyp #fypシ #zyxcba #real #covid #pandemic #time #why #joe #joebartolozzi #edit #memes #news #fortnite #sad #sadedit ,2000000,26100,10000000,11800,22,no sound,no sound,TRUE,2024-03-13T05:41:43.000Z,https://www.tiktok.com/@_sparkdala_/video/7345719035721534766
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7311944795717369861~c5_720x720.jpeg?lk3s=a5d48078&nonce=80814&refresh_token=21e68cf4f1642dc31693dedca2495511&x-expires=1719630000&x-signature=Oj7yEZ729uUyTnsK96NTZI4BRLw%3D&shp=a5d48078&shcp=b59d6b55,morgannbook,family business #dairyqueen #dq #pandemic #icecreamcake #fyp,1800000,1676,10600000,1848,24,original sound,morgann,TRUE,2021-05-16T20:01:54.000Z,https://www.tiktok.com/@morgannbook/video/6962980843983850758
